Date,Location,Cause,Severity,Point of accident,Source
24/12/2017,Μακεδονίας και 25ης Μαρτίου,STOP sign violation,Only car damages,31,https://vrilissianews.gr/vrilissia/vrilissia-sovaro-trocheo-egkatalipsi-odigou-stin-25is-martiou/
15/01/2018,Παράδρομος Αττικής Οδού,Not disclosed,Only car damages,29,https://vrilissianews.gr/vrilissia/brilissia-trocheo-ston-paradromo-tis-attikis-odou/
18/01/2018,Μακεδονίας και 25ης Μαρτίου,STOP sign violation,Only car damages,31,https://vrilissianews.gr/vrilissia/vrilissia-neo-trocheo-sti-diastavrosi-25is-martiou-ke-makedonias/
01/02/2018,Μπακογιάννη και Αγίου Αντωνίου,STOP sign violation,Only car damages,24,https://vrilissianews.gr/vrilissia/vrilissia-trocheo-sti-simvoli-bakogianni-ke-ag-antoniou/
20/02/2018,Μακεδονίας και 25ης Μαρτίου,STOP sign violation,Only car damages,31,https://vrilissianews.gr/vrilissia/brilissia-neo-trocheo-makedonias-ke-25is-martiou/
28/02/2018,25ης Μαρτίου και Δωδεκανήσου,Not disclosed,Cars + Major injuries,32,https://vrilissianews.gr/vrilissia/vrilissia-trocheo-travmatia-25is-martiou-ke-dodekanisou/
14/04/2018,28ης Οκτωβρίου και Αγίου Αντωνίου,Not disclosed,Only car damages,3,https://vrilissianews.gr/vrilissia/vrilissia-trocheo-atichima-sti-simvoli-28is-oktovriou-ke-agiou-antoniou/
30/05/2018,Κισσάβου και Αλφειού,Not disclosed,Only car damages,33,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-sti-symvoli-kissavoy-kai-alfeioy-photo/
31/05/2018,Μπακογιάννη και Αγίου Αντωνίου,STOP sign violation,Only car damages,24,https://vrilissianews.gr/vrilissia/brilissia-neo-trochaio-stin-agioy-antonioy/
31/05/2018,28ης Οκτωβρίου και Αγίου Αντωνίου,Not disclosed,Only car damages,3,https://vrilissianews.gr/vrilissia/trochaio-atychima-sti-symvoli-agioy-antonioy-kai-28is-oktovrioy/
07/07/2018,Θράκης και Ευβοίας,STOP sign violation,Only car damages,34,https://vrilissianews.gr/vrilissia/sovaro-trochaio-sta-vrilissia-apo-thayma-den-thrinisame-thymata-photos/
14/09/2018,Κισσάβου και Αλφειού,STOP sign violation,Cars + Minor injuries,33,https://vrilissianews.gr/vrilissia/brilissia-sovaro-trochaio-kissavoy-kai-alfeioy/
27/09/2018,Πεντέλης και Αναπαύσεως,Not disclosed,Only car damages,35,https://vrilissianews.gr/vrilissia/sygkroysi-ich-leoforeio-stin-anapayseos/
14/10/2018,Πεντέλης (πλατεία Ελευθερίας),Drunk driver,Only car damages,39,https://vrilissianews.gr/vrilissia/sovaro-trochaio-atychima-sti-l-pentelis/
17/11/2018,25ης Μαρτίου και Θράκης,STOP sign violation,Only car damages,37,https://vrilissianews.gr/vrilissia/vrilissia-neo-trochaio-atychima-stin-25is-martioy/
31/12/2018,Κρήτης και Ηπείρου,STOP sign violation,Only car damages,21,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-stin-symvoli-ton-odon-kritis-kai-ipeiroy/
05/01/2019,Αναπαύσεως (ύψος νεκροταφείου),Slide due to ice,Only car damages,38,https://vrilissianews.gr/vrilissia/anapayseos-peripoliko-sygkroystike-me-ich-logo-pagetoy/
06/01/2019,Μακεδονίας και Κύπρου,Not disclosed,Cars + Minor injuries,39,https://vrilissianews.gr/vrilissia/trochaio-me-traymatia-ti-nychta-sta-vrilissia-photos/
12/01/2019,Μακεδονίας και Αναλήψεως,Not disclosed,Only car damages,40,https://vrilissianews.gr/vrilissia/neo-trochaio-atychima-sta-vrilissia/
15/01/2019,Θερμοπυλών,Vehicle overturning,Only car damages,41,https://vrilissianews.gr/vrilissia/vrilissia-anetrapi-tzip-stin-thermopylon/
29/01/2019,Αναπαύσεως και Αλφειού,Pedestrian draging,Cars + Minor injuries,12,https://vrilissianews.gr/vrilissia/ochima-paresyre-pezo-sta-vrilissia/
30/01/2019,Θερμοπυλών και Αναλήψεως,Not disclosed,Only car damages,11,https://vrilissianews.gr/vrilissia/trochaio-atychima-sti-symvoli-ton-odon-analipseos-kai-thermopylon/
27/04/2019,Ολύμπου και Σαλαμίνας,Vehicle overturning,Only car damages,42,https://vrilissianews.gr/vrilissia/anetrapi-aytokinito-sta-vrilissia/
10/06/2019,Ολύμπου και Ροδόπης,Not disclosed,Only car damages,43,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-sti-symvoli-olympoy-kai-rodopis/
06/08/2019,Ολύμπου και Πιερίων,Careless driving,Only car damages,44,https://vrilissianews.gr/vrilissia/vrilissia-aytokinito-karfothike-se-kol/
19/09/2019,Μακεδονίας και 25ης Μαρτίου,STOP sign violation,Only car damages,31,https://vrilissianews.gr/vrilissia/brilissia-neo-trochaio-makedonias-kai-25/
26/09/2019,Πεντέλης,Careless driving,Only car damages,45,https://vrilissianews.gr/vrilissia/trochaio-me-traymatia-sti-l-pentelis/
07/10/2019,Μπακογιάννη και Αγίου Αντωνίου,STOP sign violation,Only car damages,24,https://vrilissianews.gr/vrilissia/vrilissia-sovaro-trochaio-prin-apo-lig/
12/10/2019,Πεντέλης (ύψος Σισμανογλείου),Not disclosed,Cars + Minor injuries,46,https://vrilissianews.gr/vrilissia/trochaio-atychima-me-traymaties-sti-l-pe/
26/10/2019,Παράδρομος Αττικής Οδού (Βασιλόπουλος),Careless driving,Cars + Minor injuries,47,https://vrilissianews.gr/vrilissia/neo-trochaio-me-traymatismo-exo-apo-to-a/
25/11/2019,Θερμοπυλών και Πάρνηθος,Not disclosed,Only car damages,15,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-ta-ximeromata-sti-s/
01/12/2019,Πεντέλης (ύψος Αττικής Οδού),Not disclosed,Only car damages,18,https://vrilissianews.gr/epikairothta/sovaro-trochaio-sti-leoforo-pentelis-s/
16/01/2020,Θερμοπυλών και Υμηττού,STOP sign violation,Only car damages,48,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-thermopylo/
25/01/2020,Αναλήψεως και Μακεδονίας,STOP sign violation,Cars + Minor injuries,49,https://vrilissianews.gr/vrilissia/brilissia-leoforeio-sygkroystike-me-i/
27/01/2020,Κισσάβου,Not disclosed,Only car damages,13,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima/
29/01/2020,Ταυγέτου (2ο γυμνάσιο),Pedestrian draging,Cars + Minor injuries,50,https://vrilissianews.gr/vrilissia/vrilissia-ochima-chtypise-mathitria-exo/
04/02/2020,Κύπρου και Φλωρίνης,Red traffic light violation,Cars + Minor injuries,51,https://vrilissianews.gr/vrilissia/brilissia-trochaio-atychima-kyproy-kai-f/
06/02/2020,28ης Οκτωβρίου και Θερμοπουλών,STOP sign violation,Only car damages,52,https://vrilissianews.gr/uncategorized/trochaio-atychima-thermopylon-kai-28is-okto/
15/02/2020,Μπακογιάννη και Αγίου Αντωνίου,STOP sign violation,Only car damages,24,https://vrilissianews.gr/uncategorized/vrilissia-trochaio-atychima-mpakogian/
05/03/2020,Ταυγέτου και Δίρφυς,Not disclosed,Cars + Minor injuries,22,https://vrilissianews.gr/uncategorized/vrilissia-sovaro-trochaio-atychima-me-t/
17/04/2020,Θερμοπυλών και Μπακογιάννη,STOP sign violation,Only car damages,9,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-prin-ligo-m/
18/04/2020,Μπακογιάννη και Αγίου Αντωνίου,Not disclosed,Only car damages,24,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-agioy-anto/
22/04/2020,Δωδεκανήσου και Πίνδου,Not disclosed,Only car damages,53,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-pindoy-kai/
06/05/2020,Θερμοπυλών και Αναλήψεως,Driver felt dizzy,Cars + Major injuries,11,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-2/
11/05/2020,28ης Οκτωβρίου και Ηπείρου,Not disclosed,Cars + Major injuries,54,https://vrilissianews.gr/vrilissia/trochaio-me-traymatia-sta-vrilissia/
16/05/2020,Μπακογιάννη και Γράμμου,Not disclosed,Cars + Major injuries,55,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-me-traymatia-anava/
05/06/2020,Μπακογιάννη και Θερμοπυλών,Not disclosed,Only car damages,56,https://vrilissianews.gr/vrilissia/brilissia-trochaio-atychima-mpakogiann/
05/06/2020,Πεντέλης και Αναπαύσεως,Not disclosed,Cars + Major injuries,35,https://vrilissianews.gr/vrilissia/sovaro-trochaio-aytin-tin-ora-l-penteli/
09/06/2020,Πεντέλης (ύψος παιδικού σταθμού Ν. Πεντέλης),Bicycle draging,Cars + Minor injuries,57,https://vrilissianews.gr/vrilissia/vrilissia-aytokinito-paresyre-podil/
17/06/2020,Κισσάβου και Μητροπούλου,Not disclosed,Cars + Minor injuries,8,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-stin-symvo/
18/06/2020,28ης Οκτωβρίου και Αγίου Αντωνίου,STOP sign violation,Only car damages,3,https://vrilissianews.gr/vrilissia/brilissia-trochaio-atychima-sti-symvoli/
27/06/2020,Θερμοπυλών και Κύπρου,STOP sign violation,Only car damages,16,https://vrilissianews.gr/vrilissia/brilissia-trochaio-atychima-thermopylon/
04/07/2020,Μπακογιάννη και Θερμοπυλών,STOP sign violation,Only car damages,56,https://vrilissianews.gr/vrilissia/brilissia-trochaio-atychima-mpakogiann-2/
19/07/2020,Πεντέλης (ύψος Αττικής Οδού),Careless driving,Only car damages,18,https://vrilissianews.gr/vrilissia/ix-karfothike-sto-fanari-sti-l-pentelis/
26/07/2020,Πεντέλης και Μπακογιάννη,Not disclosed,Only car damages,58,https://vrilissianews.gr/vrilissia/sovaro-trochaio-atychima-stin-l-penteli/
27/07/2020,Πίνδου,STOP sign violation,Only car damages,59,https://vrilissianews.gr/vrilissia/vrilissia-sygkroysi-ochimaton-stin-od/
16/08/2020,Πεντέλης και Β. Ηπείρου,Vehicle overturning,Only car damages,60,https://vrilissianews.gr/uncategorized/vrilissia-anatropi-aytokinitoy/
03/09/2020,Αναπάυσεως,Not disclosed,Only car damages,61,https://vrilissianews.gr/vrilissia/vrilissia-trochaio-atychima-stin-l-anap/
